Ticker,Model,RMSE,MAE,MAPE,R2,Correlation,DirectionalAccuracy,QLIKE
AAPL,HAR,0.1576832647297436,0.11724204343815922,6647649.953278984,-0.0691679077484304,0.03692926708055405,0.44274809160305345,-0.8020529435527358
AAPL,HAR+Sentiment,0.1613096924994367,0.12098122173256888,5542567.28872962,-0.11891123539465931,-0.03164091130092169,0.4122137404580153,-0.7815206214643956
AAPL,HAR Log,0.16066808995187437,0.1042474420461024,4010975.0540926224,-0.11002809158861937,-0.0089617128700265,0.4122137404580153,-0.7233354818633521
AAPL,XGB,0.17518279126108102,0.1319906318868894,4726823.718646487,-0.31964644414491694,0.04750488219195712,0.5,66925.51431164477
AAPL,XGB+Sentiment,0.18188157214375145,0.13169628287988203,7336180.554532258,-0.42249944997020816,-0.0836072228053857,0.4618320610687023,35687.62729307098
MSFT,HAR,0.1401614938779332,0.10615871336272358,304.2742576171977,-0.139110048397463,-0.004408316049000778,0.37786259541984735,-0.8814165024339699
MSFT,HAR+Sentiment,0.14248516197848685,0.1080513007165522,310.4431201507346,-0.17719261366120587,-0.03982619332305315,0.36259541984732824,-0.8514924122324904
MSFT,HAR Log,0.14179327653649043,0.09619561114299764,180.6226213136584,-0.16578784811913283,-0.028467114875817483,0.3282442748091603,-0.7799184260133744
MSFT,XGB,0.16539339259937924,0.12658642185946264,344.2223225407462,-0.5861511079117785,-0.062073051048424546,0.48091603053435117,119975.25133227068
MSFT,XGB+Sentiment,0.15386833863241023,0.117307794105034,333.2623117034167,-0.37279843920662503,-0.037434274923684265,0.45038167938931295,60963.01134559564
NVDA,HAR,0.3357015705120285,0.24722236865282018,8887224.077583093,0.03899735762904788,0.21427245824096738,0.40076335877862596,0.03142512620311215
NVDA,HAR+Sentiment,0.3393862367626899,0.25035230439960104,10186637.849987453,0.017785619514771867,0.1858934586237001,0.4580152671755725,0.04309367585144339
NVDA,HAR Log,0.36243340350983627,0.24739188129894485,5749238.729909042,-0.12014506688381621,0.18545907890772456,0.44274809160305345,0.1565403544719365
NVDA,XGB,0.37373299293548873,0.28377577523647296,7394123.507636286,-0.1910793997834357,0.15834965975709586,0.5343511450381679,45645.07088240295
NVDA,XGB+Sentiment,0.36834136344152646,0.27270181853772046,3843439.459187346,-0.15696126345301686,0.08872514557988746,0.5381679389312977,0.28062388842940733
TSLA,HAR,0.43132490840384036,0.29648431196412073,397.428745164008,-0.024289098066823556,0.03778182214205456,0.3969465648854962,0.20140455545017627
TSLA,HAR+Sentiment,0.43511634983720165,0.2993107462732818,389.8518742656573,-0.04237569869536584,0.015993053393223863,0.4541984732824427,0.21385599198918145
TSLA,HAR Log,0.4610638045361067,0.29086750251005,231.29914198943942,-0.1704032849306818,0.07478207403817405,0.44656488549618323,0.36730725171555734
TSLA,XGB,0.4776431148140276,0.34448837613691524,497.92176782963946,-0.25608930106449135,0.09902137468364457,0.5305343511450382,548776.394231485
TSLA,XGB+Sentiment,0.4710786096110604,0.3413830516211233,447.9637442074911,-0.2218003408907243,0.034609187340398334,0.5076335877862596,215117.06977705663
