date,actual_volatility,har_forecast,har_sentiment_forecast
1476,0.04332861311356692,0.19755151901222137,0.23901176097818483
1477,0.13556377163144714,0.1929494209852568,0.23899043879724077
1478,0.08486277179872974,0.19196860526488732,0.23898996435635736
1479,0.17099596596340258,0.19168128291693348,0.2389936053028693
1480,0.012227268448736454,0.19062112871585832,0.23898984836180315
1481,0.08830895026024262,0.1899484934824792,0.23899439335999445
1482,0.045162464522911394,0.188406940372495,0.2389858404464036
1483,0.008220121694404635,0.18908218787916964,0.23898837411141555
1484,0.03530197930602527,0.1880003178769055,0.23898587041685046
1485,0.08633976207806261,0.18743710896533666,0.23898484375889126
1486,0.5785094248507763,0.18611775946083828,0.23898376193164647
1487,0.11930930898135558,0.18681074599201286,0.23898596266828717
1488,0.20289925498221398,0.22115247853622172,0.23909952270642798
1489,0.06383310406133107,0.20716908643251997,0.23900779253320423
1490,0.37919905096397627,0.21072332378788275,0.2390178848681462
1491,0.035971228187275446,0.20897964071435335,0.2390071871213726
1492,0.08977635013710909,0.22245987894322003,0.23905471498605663
1493,0.05123895804414145,0.19938095840543882,0.2389965291877826
1494,0.028201761019955945,0.19921552086093786,0.23899803304116396
1495,0.1967418830877084,0.19695365306607063,0.2389944131433695
1496,0.08234014996144486,0.19630124314887407,0.23899340185502477
1497,0.5088018209406193,0.19307121524170368,0.23899914631178873
1498,0.2446835126624034,0.19127305788615317,0.23898974598013792
1499,0.19192156293188403,0.21774495073693304,0.23907723416372179
1500,0.10526683643161072,0.21200635388357725,0.23902318326741429
1501,0.05540217737772896,0.21290951190256555,0.23901851725581746
1502,0.02695663646027159,0.21040048060523237,0.2390097063613985
1503,0.14372114532765357,0.209595537370506,0.23900700816731146
1504,0.05702700058596965,0.19673677188950928,0.23899315349136221
1505,0.30849628972332366,0.19583807837474937,0.23899699722111106
1506,0.31030523487039585,0.19339190658206548,0.23899027068265277
1507,0.21037530595119422,0.2026874234689599,0.23902179951830763
1508,0.08603581712859915,0.20826786495812077,0.23902759995509953
1509,0.15554503656554983,0.20838908301670067,0.23901509015274572
1510,0.13643708449099626,0.20286663807761707,0.23900131197969993
1511,0.00922186143742562,0.2047685895870077,0.23900730089088096
1512,0.09161677899442267,0.20051067506675974,0.23900161176708445
1513,0.0446137021995307,0.19486777829269528,0.2389913230805534
1514,0.1435480906717668,0.19216247551274307,0.23899086706506037
1515,0.17999183903211335,0.19160803353444422,0.23898874869435474
1516,0.0765369060428614,0.1924065611547598,0.23899403049659068
1517,0.025018351259357304,0.19391754380680673,0.2389983604665498
1518,0.13439485881826815,0.193034370885964,0.23899103724086068
1519,0.06544039310795018,0.19204085143915256,0.23898884391275418
1520,0.06631196210154296,0.19374449911251695,0.2389947798488355
1521,0.17749535663636112,0.18983445065973414,0.23898805032166304
1522,0.1600912707618847,0.1879176407192075,0.2389862350829541
1523,0.11872767572638898,0.1903769219744062,0.2389953247184465
1524,0.12829199484660941,0.1914841403221819,0.2389950163464482
1525,0.10552578859949095,0.19086608349116077,0.23899156989967354
1526,0.05873431477136767,0.19172888710672292,0.23899299197455182
1527,0.09601957781008205,0.19172524843278405,0.23899172860605553
1528,0.4081164850888165,0.18998818230650347,0.23898808009928937
1529,0.4580308657498917,0.18860774911041442,0.23898825828225245
1530,0.09358892997982103,0.20404245535763432,0.2390419647334121
1531,0.011267381634920075,0.21718645730032185,0.2390655588188315
1532,0.16167585150505248,0.20785901279418684,0.23900745201645968
1533,0.18671796789241557,0.207065186178756,0.23900461055918412
1534,0.0440470601503211,0.2091677071046429,0.23901303552508202
1535,0.19361560214535245,0.203397680015974,0.2390090894712989
1536,0.1725251734236868,0.1915533199376907,0.2389889283100769
1537,0.034907661694902094,0.19494833904842437,0.23900091800011397
1538,0.10083798836214355,0.19614755203960973,0.23900027290830694
1539,0.21420478199398132,0.1933037742182021,0.23899052978608878
1540,0.23180069221909388,0.19253587183054782,0.23899188307418467
1541,0.6622143904386286,0.19678525496656407,0.23900477203433976
1542,0.08407329733746406,0.19829426997256278,0.2390081347100343
1543,0.1323146392293637,0.24036264935456142,0.23914329415537802
1544,0.10627787286587675,0.22088282074652013,0.23901914225412035
1545,0.3332177750448489,0.22158853526920325,0.23902242291123757
1546,0.16851214838168774,0.21945515759759865,0.23901875628158828
1547,0.13480206523484142,0.22780364279325385,0.23905118738135436
1548,0.11149279099689083,0.20386111140113086,0.2390064931232029
1549,0.07597469662511924,0.20400898606913664,0.23900416350394021
1550,0.07785419524328237,0.2035819087643343,0.23900231581729897
1551,0.0713035386208825,0.2029700453249198,0.23900008687987284
1552,0.10613459330210256,0.19623811578667846,0.2389935987944796
1553,0.11455698155444814,0.19305432080192003,0.23899058209541693
1554,0.17782263551820482,0.19302086986807682,0.2389920312307533
