date,actual_volatility,har_forecast,har_sentiment_forecast
1476,0.20687700285735544,0.17895074755046625,0.21790805867892646
1477,0.08200073013137778,0.2025628504039394,0.21796850447667585
1478,0.025964804935279286,0.1898083925039321,0.21793458657417647
1479,0.1126770688321969,0.18420051371845203,0.21791966400793883
1480,0.1245807724310771,0.1821678151385207,0.21791567878281734
1481,0.044135032128548565,0.183648954431416,0.2179207331195487
1482,0.0033907211135439895,0.1808096597838364,0.21791458979819253
1483,0.025018106148022034,0.1775790305251119,0.2179065644859074
1484,0.05126585816860891,0.176730589507646,0.21790507275485613
1485,0.032116235426965706,0.17682628125384917,0.21790531904752244
1486,0.2197660473309076,0.17692635617189167,0.21790555254801985
1487,0.011560664366025106,0.17610043207717088,0.21790386049713023
1488,0.11435110125902354,0.18447111491597065,0.2179256338163725
1489,0.008199636552861773,0.1771471815774923,0.2179063218773771
1490,0.296784472548503,0.17915426299615128,0.2179120454061005
1491,0.04653573124610495,0.17658739734576076,0.2179062521681569
1492,0.2921506080412599,0.19244646436630547,0.21794704468131468
1493,0.07695307428276164,0.17819298350388035,0.21790977445023937
1494,0.15769901151639376,0.19337886921552846,0.21794860599147486
1495,0.07338513913216517,0.18100878506196355,0.217916226790838
1496,0.032573465840890915,0.18449452559697704,0.2179253100868929
1497,0.17833500813106148,0.1797151563806938,0.21791270708722654
1498,0.1922902548903276,0.1790454166113241,0.21791091848130645
1499,0.08624230604781347,0.18161375500427593,0.2179194006002173
1500,0.09539718105049823,0.1829776833547659,0.21792318915898518
1501,0.144988299944298,0.1781337738377234,0.2179103576696039
1502,0.09083183630854352,0.1785488077137623,0.217911304418007
1503,0.03689931526811099,0.18085642129653667,0.21791728669159574
1504,0.22593274354400003,0.17835659870228443,0.2179107682411284
1505,0.04384226725050367,0.1765727015874936,0.21790597993224012
1506,0.4336290311842186,0.1855456828653315,0.2179288011044857
1507,0.24564267804825887,0.17793799965660162,0.2179086995278173
1508,0.28983965219840463,0.21156626410663304,0.21799434611501803
1509,0.21649098639703426,0.19381062048284237,0.21794656420495345
1510,0.006262740033638015,0.19946901144932122,0.21796103792885302
1511,0.33162675173067596,0.19420944599005416,0.21794628597372648
1512,0.0023001153120466803,0.18691323318688427,0.21792728780047016
1513,0.24497136912765086,0.20316022041363574,0.21796785890916293
1514,0.20094739088984653,0.18429459992615918,0.21791960269706034
1515,0.3454897584428607,0.19352199396019487,0.21794278519449434
1516,0.12336738225682439,0.1899438301655053,0.2179341743880517
1517,0.11399397670804182,0.20556231876102868,0.2179735541385044
1518,0.09791615240188856,0.1876773947118037,0.217926324819474
1519,0.04997327157334119,0.1876826519914757,0.21792623143300144
1520,0.02405978745127085,0.1862179020840402,0.21792207432677724
1521,0.3694589707687201,0.18406409998517992,0.21791684149446242
1522,0.05059814450735335,0.1809669681314273,0.2179090361295877
1523,0.1086922326710908,0.20544747200448943,0.21797149426182583
1524,0.0023371983380945107,0.18478896870021316,0.21791712131664515
1525,0.009346729431931653,0.1861486345203192,0.21792088425457462
1526,0.22883735587068074,0.18421693114886314,0.2179159386402269
1527,0.07122175049176022,0.18420632950121493,0.21791593318305794
1528,0.022174328055701974,0.1904495839189018,0.21793214246739673
1529,0.47652224459620046,0.1833377342120595,0.2179133396254588
1530,0.02209331508772413,0.1804969020210715,0.21790932488254777
1531,0.27592270312174544,0.22132270017221883,0.21801445893821036
1532,0.11370185782091377,0.18600612124958715,0.21792290745420048
1533,0.06657349342813017,0.1983003957420635,0.21795483884982134
1534,0.41673498827205174,0.18897653811264806,0.21793003629897068
1535,0.006881897867312542,0.18668871596074488,0.21792598791193574
1536,0.382372686509163,0.21311274235731237,0.21799226591387436
1537,0.33197225413986675,0.18607724893079217,0.2179221053057162
1538,0.03427199218729591,0.21082959248666167,0.21798557651162762
1539,0.15482263144530942,0.20725206780817967,0.21797657744748028
1540,0.14325131526446394,0.19045382978127265,0.21793254188614228
1541,0.15380464379095318,0.19096616956800017,0.21793328424977096
1542,0.02330941123095495,0.19097242937225095,0.21793315153072912
1543,0.2192195157946277,0.18915363897429682,0.21792763053576505
1544,0.045489177126549526,0.1833895873740411,0.2179121385873813
1545,0.008284886946817881,0.19067763025857543,0.21793313341430406
1546,0.02676665128703603,0.18322707711304845,0.21791343986432138
1547,0.14460687855064486,0.182383836758144,0.2179113810815723
1548,0.11746318192071631,0.18201955418400179,0.21791034554543673
1549,0.037334128528679074,0.18572171206650795,0.21791977206481095
1550,0.09733095191693332,0.18354417918973484,0.2179146595770443
1551,0.2876080307314092,0.1816056903940534,0.2179096156086047
1552,0.03473240449145206,0.18311921502946973,0.21791346352791408
1553,0.06306014428342967,0.19447178221051953,0.21794631444349447
1554,0.1128635280637204,0.18167381211440417,0.2179125054956567
1555,0.174190072888163,0.18115843755273922,0.2179124690607934
1556,0.22528004675044475,0.18272199293818747,0.2179166255582711
1557,0.31387456248261114,0.18609211518773555,0.21792508292043977
1558,0.03603293348065226,0.18728903963798352,0.21793045024371893
1559,0.10526404686840143,0.19755432140514986,0.21795593657905554
1560,0.29450341152625065,0.18123100456104924,0.21791560100881333
1561,0.20352441548740216,0.1816748087081745,0.2179186196049037
1562,0.07301541927085352,0.19521247936177794,0.21795286487406376
1563,0.2595651043083988,0.18830560651808012,0.2179343032196582
1564,0.05792804036586916,0.18075014007894527,0.21791441578721021
1565,0.3936902504968436,0.1919892637966733,0.21794340903293535
1566,0.28700095227605066,0.18211968046987123,0.21791731404001294
1567,0.15981277657264673,0.20767904594394587,0.2179828874339976
1568,0.5182472372972357,0.19828777407036852,0.21795673616428163
1569,0.22710995263767284,0.19031537371903423,0.21793529486475857
1570,0.11613860422981401,0.23414616842625155,0.2180463916200106
1571,0.34808921237672197,0.20243180596375077,0.21796233187762776
1572,0.2663234617961125,0.19373361081097606,0.2179390232643653
1573,0.16204964370257338,0.2121320961056683,0.21798539732386418
1574,0.046469280162629086,0.20604536368404,0.21796832286636061
1575,0.0686791146821382,0.19370807297855858,0.2179361976102358
1576,0.0928980908057707,0.18903829599834046,0.21792373457848363
1577,0.039088989135210965,0.18925518789320547,0.21792426895699807
1578,0.10859883436892914,0.1875025098568866,0.21791942156701632
1579,0.24654304047756984,0.18470603318736134,0.21791240019277505
1580,0.07861369797054656,0.18557429731581607,0.21791537867268182
1581,0.02943913593887017,0.1938444445527678,0.21793804658770308
1582,0.19262563601840876,0.1856166784363677,0.2179162663903463
1583,0.1374944163975903,0.18454505782596387,0.21791361102732318
1584,0.05466514234358734,0.19028155588696122,0.21792975910351806
1585,0.13032560838380836,0.18742873904679738,0.21792267759783238
1586,0.11704636249212218,0.18379889870510047,0.21791299545621334
1587,0.005903633761739077,0.18563609915401408,0.21791881035744748
1588,0.042480069830231316,0.18550476141499145,0.21791830528673672
1589,0.5456082093372088,0.1810863859419313,0.21790945279687018
1590,0.01759975550480631,0.18018390092863068,0.21790853329349066
1591,0.06168645852612048,0.2340141141015295,0.2180461657552215
1592,0.0975913726089347,0.18569349729490617,0.21792373609794513
