date,actual_volatility,har_forecast,har_sentiment_forecast
1476,0.15416827381514395,0.37612449144420756,0.4586208599043232
1477,0.08917216383399425,0.39534740111824485,0.4593873427723808
1478,0.32043090786048184,0.37348889715166517,0.45869943112587575
1479,0.6346116986979565,0.37149154767208725,0.4586649827745332
1480,0.46585109786457335,0.37177902713061994,0.4587819260844406
1481,0.1227291629372193,0.38579887908094906,0.4592217837919737
1482,0.2537975055690302,0.3804502922487422,0.45894066151726504
1483,0.2960191791952689,0.37418307783891147,0.45869418106202403
1484,0.5096376091841207,0.37439680801905884,0.45875850132437257
1485,0.2974617205358408,0.37561893755605846,0.45878600664344105
1486,0.0038334945952427594,0.3812779714760248,0.45897345994322997
1487,0.6502392535447451,0.3723104942314076,0.4587330236556921
1488,0.03465643130344807,0.3697299380548292,0.45862384015896457
1489,0.029382785800158323,0.3862080477214281,0.4592047517020299
1490,0.19663141053477082,0.3749876470938091,0.45868575566383274
1491,0.36665096139401093,0.37264667032679266,0.45863671819770974
1492,0.06906415470703504,0.37317413054243775,0.45867257061275624
1493,0.4626778688343038,0.37779058879365857,0.4588155252239486
1494,0.5929033246971479,0.37109593621812287,0.4585833256808696
1495,0.07380170874532645,0.37982803317909347,0.45887842435700454
1496,0.31789452937102813,0.38844032875655826,0.45911516221355886
1497,0.2726099968007942,0.3792922441584811,0.45869528160563133
1498,0.023208713061611055,0.3821640123735416,0.4588057478925474
1499,0.25566276855637526,0.37728449282645016,0.4587705265888546
1500,0.025827993010869934,0.37365799480240364,0.45864285388275083
1501,0.09974643215588881,0.37371441380668136,0.4586698771498748
1502,2.0519098634669675,0.3711105667753956,0.4585885853548466
1503,0.05379975212595269,0.3670069302496003,0.45857064509669937
1504,0.6517356925795829,0.5395728481302715,0.46446241528520665
1505,0.05478011096923735,0.4343576646942436,0.45944209568478683
1506,0.3603429325283019,0.4508982770457634,0.4600223433362358
1507,0.13251755286797579,0.4395880439257002,0.4595168464749304
1508,0.08005290132448155,0.44242401659286046,0.4596859408432884
1509,0.5894949241770278,0.40820058258684255,0.4587857818788413
1510,0.35031543279042343,0.40800742252911204,0.45877331704734103
1511,0.21127665543830854,0.4152595683246213,0.4591638598029009
1512,0.16668476739420157,0.4116563463098979,0.4589213003785439
1513,0.33231151502102985,0.40948916894777054,0.45881398911275045
1514,0.4525187659660953,0.4090414947944338,0.45879539743960246
1515,0.35064833099334614,0.41164531119259684,0.45891220743090044
1516,0.39951390055379915,0.41482270469457444,0.45900509379997656
1517,0.9580796205225549,0.41192953437690916,0.4589046287910366
1518,0.03964664425534692,0.4118968643451729,0.45896325028948065
1519,0.4992067374812406,0.44589123169331873,0.4600590966810513
1520,0.08253387968313021,0.4212698585882422,0.4589427247209822
1521,0.21372493890910685,0.4294156172018386,0.4592518305426203
1522,0.4435922735421646,0.42256620923399146,0.4589416382792448
1523,0.6028139698585355,0.42251771060271087,0.4589666330448457
1524,0.02625018411493738,0.4228337454131384,0.45902172679978054
1525,0.18254463746840863,0.43295027497256267,0.45929762391795004
1526,0.012575447174536706,0.3827621746294225,0.45868650353275936
1527,0.059648733534165804,0.38405605216467253,0.4587312343239017
1528,1.1785971119026972,0.37892925473947925,0.45866994659508725
