Ticker,Model,actual_std,pred_std
AAPL,har_forecast,0.15278933402784112,0.03975176468045444
AAPL,har_sentiment_forecast,0.15278933402784112,0.03975176468045444
AAPL,har_log_forecast,0.15278933402784112,0.022323535388505115
AAPL,xgb_forecast,0.15278933402784112,0.06472073691047218
AAPL,xgb_sentiment_forecast,0.15278933402784112,0.06472073691047218
MSFT,har_forecast,0.13157587542005864,0.04599647119572322
MSFT,har_sentiment_forecast,0.13157587542005864,0.04599647119572322
MSFT,har_log_forecast,0.13157587542005864,0.02157900468845852
MSFT,xgb_forecast,0.13157587542005864,0.06984379102663965
MSFT,xgb_sentiment_forecast,0.13157587542005864,0.06984379102663965
NVDA,har_forecast,0.3431005972878308,0.1018565015551036
NVDA,har_sentiment_forecast,0.3431005972878308,0.1018565015551036
NVDA,har_log_forecast,0.3431005972878308,0.059199925219653615
NVDA,xgb_forecast,0.3431005972878308,0.16906222140085106
NVDA,xgb_sentiment_forecast,0.3431005972878308,0.16906222140085106
TSLA,har_forecast,0.42699585143638535,0.08459286519229976
TSLA,har_sentiment_forecast,0.42699585143638535,0.08459286519229976
TSLA,har_log_forecast,0.42699585143638535,0.04743339103071822
TSLA,xgb_forecast,0.42699585143638535,0.20508767330658892
TSLA,xgb_sentiment_forecast,0.42699585143638535,0.20508767330658892
