Ticker,Model,mean,std,min,max,skewness,kurtosis
AAPL,har_forecast,-0.021937177031480477,0.15644869070405742,-0.27262713759256413,0.9113699500233432,2.2194385357362036,7.75434181238399
AAPL,har_sentiment_forecast,-0.021937177031480477,0.15644869070405742,-0.27262713759256413,0.9113699500233432,2.2194385357362036,7.75434181238399
AAPL,har_log_forecast,0.04473721006824698,0.15460935939154893,-0.13962524104316298,1.0160892500891807,2.3612348031311594,8.75404587389685
AAPL,xgb_forecast,-0.02259811568351371,0.16241013438825475,-0.33513159273004783,0.8813436060557802,1.7792148790040165,5.868125594346058
AAPL,xgb_sentiment_forecast,-0.02259811568351371,0.16241013438825475,-0.33513159273004783,0.8813436060557802,1.7792148790040165,5.868125594346058
MSFT,har_forecast,-0.015438763585559567,0.13957523004238348,-0.28619757182897737,0.8684924427900865,1.6789220125665472,6.293951553779095
MSFT,har_sentiment_forecast,-0.015438763585559567,0.13957523004238348,-0.28619757182897737,0.8684924427900865,1.6789220125665472,6.293951553779095
MSFT,har_log_forecast,0.04726825843159132,0.13393848010426307,-0.11879944424358771,0.9192725076904483,1.9502355253174526,7.1350989914045915
MSFT,xgb_forecast,-0.02215601833024325,0.15158647822122268,-0.40920283930890944,0.8798239902618217,1.3335041722482344,4.980035961264107
MSFT,xgb_sentiment_forecast,-0.02215601833024325,0.15158647822122268,-0.40920283930890944,0.8798239902618217,1.3335041722482344,4.980035961264107
NVDA,har_forecast,0.003300031516040014,0.33632781063493594,-0.5681198013108946,2.0494767201834714,1.807751196764875,6.377177351816977
NVDA,har_sentiment_forecast,0.003300031516040014,0.33632781063493594,-0.5681198013108946,2.0494767201834714,1.807751196764875,6.377177351816977
NVDA,har_log_forecast,0.13454799376667584,0.33717760279369613,-0.35702526640392723,2.1756133268716056,1.9365409556363813,6.754914706743646
NVDA,xgb_forecast,-0.0014005330946805698,0.35817848758243737,-0.7059422523070803,2.208509555017447,1.4808825783278272,5.674535712009929
NVDA,xgb_sentiment_forecast,-0.0014005330946805698,0.35817848758243737,-0.7059422523070803,2.208509555017447,1.4808825783278272,5.674535712009929
TSLA,har_forecast,0.0014071078181089453,0.43214811177892876,-0.639134177145989,2.7821775679211598,2.4031500286834406,9.259302703027828
TSLA,har_sentiment_forecast,0.0014071078181089453,0.43214811177892876,-0.639134177145989,2.7821775679211598,2.4031500286834406,9.259302703027828
TSLA,har_log_forecast,0.17811968950028217,0.42608230687798593,-0.34971008848686647,2.939464651502738,2.4506871102399956,9.44805180361219
TSLA,xgb_forecast,-0.0013155620608045898,0.4593246940062411,-1.0528469598464263,2.713819028522134,1.544093343390509,5.536585736960005
TSLA,xgb_sentiment_forecast,-0.0013155620608045898,0.4593246940062411,-1.0528469598464263,2.713819028522134,1.544093343390509,5.536585736960005
