date,actual_volatility,har_forecast,har_sentiment_forecast,har_log_forecast,xgb_forecast,xgb_sentiment_forecast,har_sentiment_trained,xgb_sentiment_trained
2023-12-14,0.20687700285735544,0.21743044684216317,0.20847229255741567,0.07687736291447493,0.12447434578405966,0.17795981494310179,True,True
2023-12-15,0.08200073013137778,0.17630916348654496,0.1903041781642758,0.10797060795721021,0.46556754803952344,0.3753601556331964,True,True
2023-12-18,0.025964804935279286,0.14502846880092352,0.17567808979499575,0.10468460079984097,0.2018281658134874,0.27418604233384114,True,True
2023-12-19,0.1126770688321969,0.12865827982257522,0.10561286348316891,0.09609851957179597,0.07404008050335728,0.17236633688907435,True,True
2023-12-20,0.1245807724310771,0.15316832576845416,0.1565699318568242,0.09831772604046651,0.17297973459180738,0.14215117234019037,True,True
2023-12-21,0.044135032128548565,0.15050239710042806,0.16299114458718159,0.1010505579509838,0.1728540077554877,0.1261629540977043,True,True
2023-12-22,0.0033907211135439895,0.12169458968161295,0.12527974742223255,0.07745435887679047,0.15510987826546146,0.06992426480190286,True,True
2023-12-26,0.025018106148022034,0.10048096883174346,0.09361765476837103,0.05639784580594308,0.21539419118228081,0.12378569121808969,True,True
2023-12-27,0.05126585816860891,0.09272223904533672,0.11677969768134336,0.0569087099044457,0.10999146692942707,0.06486688988105846,True,True
2023-12-28,0.032116235426965706,0.09572450730485693,0.11495382810854061,0.06121396746415329,0.0551320573655629,0.15072706104276365,True,True
2023-12-29,0.2197660473309076,0.092308767610558,0.10493600717786675,0.05577359483063611,0.08827723163355546,0.12327897708236307,True,True
2024-01-02,0.011560664366025106,0.15322933613536344,0.14235723050113167,0.04762318461452393,0.16941999901862861,0.174583095281599,True,True
2024-01-03,0.11435110125902354,0.11292139087187403,0.1465054228060818,0.06516218004126083,0.09871449748009749,0.12284140405534823,True,True
2024-01-04,0.008199636552861773,0.12368179550725072,0.10350500221977686,0.07019419519329281,0.19710700632717415,0.12755519827268888,True,True
2024-01-05,0.296784472548503,0.10331252114958023,0.0936460423651088,0.0654756389097705,0.08217160172355652,0.07057825176439025,True,True
2024-01-08,0.04653573124610495,0.11804454421633417,0.17233147759044043,0.07365812486712425,0.17200593424831198,0.18764970789765312,True,True
2024-01-09,0.2921506080412599,0.14124803691847926,0.14930339661689263,0.0870447359519003,0.10774697416698494,0.09112373175086856,True,True
2024-01-10,0.07695307428276164,0.12007940882248899,0.11176732114316139,0.08562948042610177,0.07961257350687488,0.25484093619432335,True,True
2024-01-11,0.15769901151639376,0.15059940880126976,0.14698352752278,0.09568877464514533,0.06349391117710484,0.1721803086326403,True,True
2024-01-12,0.07338513913216517,0.13041867327622886,0.14985332005863772,0.09599650659225506,0.0,0.10488765169156405,True,True
2024-01-16,0.032573465840890915,0.14215188035202347,0.10892908185695506,0.09601163770490012,0.13156509999472665,0.10432052147349571,True,True
2024-01-17,0.17833500813106148,0.1303122287004978,0.12976120379680087,0.08139867780196289,0.08024722281533683,0.08308726014087572,True,True
2024-01-18,0.1922902548903276,0.12480872312722965,0.1340664525680555,0.08790372579724726,0.14272097743292161,0.12579755213333121,True,True
2024-01-19,0.08624230604781347,0.13505687336054317,0.14028203823813556,0.07759437975957983,0.13129000966426765,0.1807257496061618,True,True
2024-01-22,0.09539718105049823,0.15102548312879166,0.15130888585301805,0.07997047038289905,0.20974693531504904,0.1708556280270499,True,True
2024-01-23,0.144988299944298,0.11988681023145914,0.11661852883139101,0.0763280443654661,0.15768891538043364,0.14857766909461562,True,True
2024-01-24,0.09083183630854352,0.1237492774105794,0.1495310209777978,0.07922993228242974,0.22369003613084074,0.16213399833643743,True,True
2024-01-25,0.03689931526811099,0.13864852555608337,0.15919828444915934,0.08145688927921145,0.14317087913951257,0.15940771764605186,True,True
2024-01-26,0.22593274354400003,0.13179717524075885,0.11518807094408129,0.07290839653653175,0.16696024887462343,0.1218916626083669,True,True
2024-01-29,0.04384226725050367,0.11782420969368274,0.1495126278755585,0.07066875679995646,0.1385632144654516,0.12579446446182482,True,True
