date,actual_volatility,har_forecast,har_sentiment_forecast,har_log_forecast,xgb_forecast,xgb_sentiment_forecast,har_sentiment_trained,xgb_sentiment_trained
2023-12-14,0.1763129800693099,0.27365514568358035,0.25848139073176324,0.1706461392392489,0.29130532767375983,0.3797358685395148,True,True
2023-12-15,0.38081277602500396,0.268904398764256,0.27512517466562175,0.16401424743442153,0.026318704061305973,0.2898121105623326,True,True
2023-12-18,0.15065442387527025,0.2709298139633006,0.3016668041166379,0.16787008424550443,0.017312937764876146,0.3033587405189656,True,True
2023-12-19,0.4851350410709955,0.277605778560934,0.31453777330231836,0.17486633338436272,0.029877171882084864,0.2341101564731899,True,True
2023-12-20,0.2874141154749853,0.2969209310873836,0.2836135704254386,0.1664077315353259,0.20151696282830386,0.33074004323548606,True,True
2023-12-21,0.05193050522012297,0.3009151430721663,0.2644777579344523,0.19134678025423216,0.24715100622676556,0.3181364624890058,True,True
2023-12-22,0.14530092009524065,0.2874547994196999,0.2933938033018099,0.17958762640821924,0.24796574323612083,0.17578796672695998,True,True
2023-12-26,0.04439270656165182,0.2731794924645245,0.28318955559833026,0.16931416138906738,0.47444250434630747,0.3128475957714349,True,True
2023-12-27,0.033693825464927565,0.2537739487157295,0.33854925794925667,0.16361730129517715,0.10699152060330573,0.2176577500419224,True,True
2023-12-28,0.0,0.23283160144473342,0.2668764327859621,0.15062101202199196,0.19371140057088523,0.10068207427694663,True,True
2023-12-29,0.44007497050482003,0.20440167768259937,0.24150479660902388,0.1045060885080652,0.3835735299304814,0.2651841303860279,True,True
2024-01-02,0.19864710278726347,0.23718747746235425,0.21553341889701016,0.08439908144966732,0.3401386278275677,0.35971085194807406,True,True
2024-01-03,0.14252248346291113,0.2490688868685989,0.335222990973396,0.1715581261941082,0.10186569143909245,0.34082565484270955,True,True
2024-01-04,0.3593761474128868,0.2329561502998308,0.1966296672973977,0.16143113035894632,0.2372476921242245,0.23191155563893856,True,True
2024-01-05,0.9889713359608094,0.25783483480265357,0.1904476660065661,0.16508702440774678,0.16140037534252447,0.24968160977774478,True,True
2024-01-08,0.26721011292727015,0.2779732155809637,0.32749593618675416,0.1842284405334314,0.4092746475318879,0.37105256378858303,True,True
2024-01-09,0.35740909403958265,0.3758012377819383,0.3624094304501232,0.23425757842312261,0.5073175937944985,0.6001928207627779,True,True
2024-01-10,0.13726626860233265,0.31804440990079386,0.32722574753133615,0.21855973848035798,0.22079737068278205,0.2665654927165198,True,True
2024-01-11,0.03246426226321984,0.3480833478254149,0.30953390437037687,0.21671526633519117,0.4533577304918765,0.364288589518421,True,True
