date,actual_volatility,har_forecast,har_sentiment_forecast,har_log_forecast,xgb_forecast,xgb_sentiment_forecast,har_sentiment_trained,xgb_sentiment_trained
2023-12-14,0.15416827381514395,0.3253138762875507,0.3253138762875507,0.20721512791922925,0.120634496,0.120634496,False,True
2023-12-15,0.08917216383399425,0.38901914086054057,0.38901914086054057,0.22729652578129467,0.11278399,0.11278399,False,True
2023-12-18,0.32043090786048184,0.3573237185529611,0.3573237185529611,0.19524900195851388,0.014276118,0.014276118,False,True
2023-12-19,0.6346116986979565,0.28063506278546385,0.28063506278546385,0.19183400402662842,0.5025113,0.5025113,False,True
2023-12-20,0.46585109786457335,0.3876701850448051,0.3876701850448051,0.19984052473981406,0.43973157,0.43973157,False,True
2023-12-21,0.1227291629372193,0.3475956357921977,0.3475956357921977,0.21628916087511713,0.32088804,0.32088804,False,True
2023-12-22,0.2537975055690302,0.351508096067787,0.351508096067787,0.21053244632753032,0.3044439,0.3044439,False,True
2023-12-26,0.2960191791952689,0.32899032737176387,0.32899032737176387,0.19842117765400258,0.3551931,0.3551931,False,True
2023-12-27,0.5096376091841207,0.31617557137607066,0.31617557137607066,0.2028605352195018,0.22175725,0.22175725,False,True
2023-12-28,0.2974617205358408,0.37146295952691705,0.37146295952691705,0.20766850504384501,0.22119792,0.22119792,False,True
2023-12-29,0.0038334945952427594,0.3820459139273486,0.3820459139273486,0.21479867468520844,0.2672071,0.2672071,False,True
2024-01-02,0.6502392535447451,0.33402275031896933,0.33402275031896933,0.18658557087188746,0.35528904,0.35528904,False,True
2024-01-03,0.03465643130344807,0.3821062361532446,0.3821062361532446,0.16670938729811147,0.39659294,0.39659294,False,True
2024-01-04,0.029382785800158323,0.3881755925333231,0.3881755925333231,0.20963971175783172,0.18782891,0.18782891,False,True
2024-01-05,0.19663141053477082,0.3523663138409543,0.3523663138409543,0.18273644512900797,0.12633428,0.12633428,False,True
2024-01-08,0.36665096139401093,0.2793659259205242,0.2793659259205242,0.18446689051489587,0.21688415,0.21688415,False,True
2024-01-09,0.06906415470703504,0.3626930533908216,0.3626930533908216,0.2023126363705636,0.345648,0.345648,False,True
2024-01-10,0.4626778688343038,0.34066322806350074,0.34066322806350074,0.20610600532034276,0.2713119,0.2713119,False,True
2024-01-11,0.5929033246971479,0.3784015610111527,0.3784015610111527,0.19059617705192533,0.31432477,0.31432477,False,True
2024-01-12,0.07380170874532645,0.42288097039397377,0.42288097039397377,0.21654702682425211,0.326419,0.326419,False,True
2024-01-16,0.31789452937102813,0.3428085873476976,0.3428085873476976,0.2198049227470114,0.101522185,0.101522185,False,True
2024-01-17,0.2726099968007942,0.3932836638581764,0.3932836638581764,0.20450509329407685,0.33494186,0.33494186,False,True
2024-01-18,0.023208713061611055,0.37376534195817257,0.37376534195817257,0.2187550351063377,0.57926685,0.57926685,False,True
2024-01-19,0.25566276855637526,0.32343300682959514,0.32343300682959514,0.20070667686652502,0.26651418,0.26651418,False,True
2024-01-22,0.025827993010869934,0.355038668628824,0.355038668628824,0.18507286410165485,0.37734073,0.37734073,False,True
2024-01-23,0.09974643215588881,0.3387089349860003,0.3387089349860003,0.19530889089552117,0.5119317,0.5119317,False,True
2024-01-24,2.0519098634669675,0.3342842408805334,0.3342842408805334,0.17857516542089882,0.639194,0.639194,False,True
2024-01-25,0.05379975212595269,0.48534601503384395,0.48534601503384395,0.18965553156238202,0.5212631,0.5212631,False,True
2024-01-26,0.6517356925795829,0.5557862002796055,0.5557862002796055,0.2839109395288427,0.648415,0.648415,False,True
2024-01-29,0.05478011096923735,0.47849190029565536,0.47849190029565536,0.2513643119287965,0.26946184,0.26946184,False,True
2024-01-30,0.3603429325283019,0.37036908451596817,0.37036908451596817,0.2738005317097334,0.443056,0.443056,False,True
2024-01-31,0.13251755286797579,0.4328351633125378,0.4328351633125378,0.25215172394875757,0.25258607,0.25258607,False,True
2024-02-01,0.08005290132448155,0.3618281584588414,0.3618281584588414,0.26870444935651616,0.30679226,0.30679226,False,True
2024-02-02,0.5894949241770278,0.3518060553377206,0.3518060553377206,0.2403720142666902,0.3032558,0.3032558,False,True
2024-02-05,0.35031543279042343,0.38516692103283406,0.38516692103283406,0.24308593964055514,0.32171988,0.32171988,False,True
2024-02-06,0.21127665543830854,0.383815908039438,0.383815908039438,0.2617932678401424,0.14800122,0.14800122,False,True
2024-02-07,0.16668476739420157,0.3534718198000915,0.3534718198000915,0.2561862677991623,0.3230158,0.3230158,False,True
2024-02-08,0.33231151502102985,0.3445412248287419,0.3445412248287419,0.24889478722094097,0.30490065,0.30490065,False,True
2024-02-09,0.4525187659660953,0.3406137518640628,0.3406137518640628,0.2491501767174639,0.22349891,0.22349891,False,True
2024-02-12,0.35064833099334614,0.4084972462446126,0.4084972462446126,0.25925384978273325,0.27647787,0.27647787,False,True
2024-02-13,0.39951390055379915,0.40065590214099106,0.40065590214099106,0.26193151675161613,0.3171576,0.3171576,False,True
2024-02-14,0.9580796205225549,0.36249632129992193,0.36249632129992193,0.2586820783413522,0.23720852,0.23720852,False,True
