date,actual_volatility,har_forecast,har_sentiment_forecast,har_log_forecast,xgb_forecast,xgb_sentiment_forecast,har_sentiment_trained,xgb_sentiment_trained
2023-12-14,0.04332861311356692,0.17030540639658323,0.17030540639658323,0.09942536287228386,0.15758315,0.15758315,False,True
2023-12-15,0.13556377163144714,0.15457108825343682,0.15457108825343682,0.0964582945555634,0.101188175,0.101188175,False,True
2023-12-18,0.08486277179872974,0.16287275412390795,0.16287275412390795,0.09653169819485927,0.19891593,0.19891593,False,True
2023-12-19,0.17099596596340258,0.14152081394421243,0.14152081394421243,0.09440420756143345,0.14818141,0.14818141,False,True
2023-12-20,0.012227268448736454,0.16783763863936207,0.16783763863936207,0.09369415601642704,0.22730403,0.22730403,False,True
2023-12-21,0.08830895026024262,0.13527190470006725,0.13527190470006725,0.08421396282625225,0.26047623,0.26047623,False,True
2023-12-22,0.045162464522911394,0.14188326473660604,0.14188326473660604,0.08487871351606584,0.09856929,0.09856929,False,True
2023-12-26,0.008220121694404635,0.13924789398567836,0.13924789398567836,0.08644746141667232,0.20797352,0.20797352,False,True
2023-12-27,0.03530197930602527,0.12380322003139102,0.12380322003139102,0.07981155988975405,0.12666301,0.12666301,False,True
2023-12-28,0.08633976207806261,0.11557477918756517,0.11557477918756517,0.07866722269847803,0.21916537,0.21916537,False,True
2023-12-29,0.5785094248507763,0.12344613718026134,0.12344613718026134,0.06805203741128353,0.13286106,0.13286106,False,True
2024-01-02,0.11930930898135558,0.2049417178247517,0.2049417178247517,0.07630131852313242,0.3294269,0.3294269,False,True
2024-01-03,0.20289925498221398,0.1841221722281629,0.1841221722281629,0.12440450713830048,0.2698079,0.2698079,False,True
2024-01-04,0.06383310406133107,0.19202131166528397,0.19202131166528397,0.12500286483967893,0.3116454,0.3116454,False,True
2024-01-05,0.37919905096397627,0.18507288112219514,0.18507288112219514,0.12550253643231435,0.2238024,0.2238024,False,True
2024-01-08,0.035971228187275446,0.19631602925454136,0.19631602925454136,0.12820162009239794,0.37437665,0.37437665,False,True
2024-01-09,0.08977635013710909,0.21865700443552386,0.21865700443552386,0.13051993960043495,0.24165738,0.24165738,False,True
2024-01-10,0.05123895804414145,0.15541315300354822,0.15541315300354822,0.11370298352607709,0.18446267,0.18446267,False,True
2024-01-11,0.028201761019955945,0.160712261732786,0.160712261732786,0.11243881150720607,0.10444914,0.10444914,False,True
2024-01-12,0.1967418830877084,0.1465284535911797,0.1465284535911797,0.10714651349369674,0.18901244,0.18901244,False,True
2024-01-16,0.08234014996144486,0.1774975501940494,0.1774975501940494,0.10926879674703519,0.1658796,0.1658796,False,True
2024-01-17,0.5088018209406193,0.14540315931973838,0.14540315931973838,0.09396856837601629,0.115158744,0.115158744,False,True
2024-01-18,0.2446835126624034,0.15286580449891599,0.15286580449891599,0.09654826441920865,0.22484523,0.22484523,False,True
2024-01-19,0.19192156293188403,0.18154195333254747,0.18154195333254747,0.12886649008750747,0.39052832,0.39052832,False,True
2024-01-22,0.10526683643161072,0.18728830960248308,0.18728830960248308,0.13188285578784173,0.1474542,0.1474542,False,True
2024-01-23,0.05540217737772896,0.19764292150613053,0.19764292150613053,0.1322642284635293,0.1944699,0.1944699,False,True
