date,actual_volatility,har_forecast_log1p,har_sentiment_forecast_log1p,har_log_forecast,xgb_forecast_log1p,xgb_sentiment_forecast_log1p
2023-12-14,0.15416827381514395,0.2927253902317961,0.2927253902317961,15.874507866387544,0.27196359798103775,0.27196359798103775
2023-12-15,0.08917216383399425,0.34002121877809754,0.34002121877809754,15.874507866387544,0.17948557212307448,0.17948557212307448
2023-12-18,0.32043090786048184,0.3196013534845872,0.3196013534845872,15.874507866387544,0.12731753800705028,0.12731753800705028
2023-12-19,0.6346116986979565,0.26909411439025754,0.26909411439025754,15.874507866387544,0.2905323755431719,0.2905323755431719
2023-12-20,0.46585109786457335,0.3481928026711829,0.3481928026711829,15.874507866387544,0.4456935339126652,0.4456935339126652
2023-12-21,0.1227291629372193,0.3108068425470981,0.3108068425470981,15.874507866387544,0.211478232981844,0.211478232981844
2023-12-22,0.2537975055690302,0.317831807713051,0.317831807713051,15.874507866387544,0.3222877638300697,0.3222877638300697
2023-12-26,0.2960191791952689,0.29779851327029083,0.29779851327029083,15.874507866387544,0.22244088978455784,0.22244088978455784
2023-12-27,0.5096376091841207,0.28908696271550854,0.28908696271550854,15.874507866387544,0.278984716805755,0.278984716805755
2023-12-28,0.2974617205358408,0.3384984062218861,0.3384984062218861,15.874507866387544,0.28805324460752724,0.28805324460752724
2023-12-29,0.0038334945952427594,0.3421929806495601,0.3421929806495601,15.874507866387544,0.32372098129624916,0.32372098129624916
2024-01-02,0.6502392535447451,0.30124037879908183,0.30124037879908183,15.874507866387544,0.3230994005349052,0.3230994005349052
2024-01-03,0.03465643130344807,0.34812947005605893,0.34812947005605893,15.874507866387544,0.3439982895797437,0.3439982895797437
2024-01-04,0.029382785800158323,0.3403350846626457,0.3403350846626457,15.874507866387544,0.1321766166423822,0.1321766166423822
2024-01-05,0.19663141053477082,0.31585341408457723,0.31585341408457723,15.874507866387544,0.1396023014294731,0.1396023014294731
2024-01-08,0.36665096139401093,0.26962888374346217,0.26962888374346217,15.874507866387544,0.16528727876019003,0.16528727876019003
2024-01-09,0.06906415470703504,0.3270906785665324,0.3270906785665324,15.874507866387544,0.2650500937912445,0.2650500937912445
2024-01-10,0.4626778688343038,0.30907853140983627,0.30907853140983627,15.874507866387544,0.1970241206745892,0.1970241206745892
2024-01-11,0.5929033246971479,0.33958979728651156,0.33958979728651156,15.874507866387544,0.35360274840131767,0.35360274840131767
2024-01-12,0.07380170874532645,0.37527710088993177,0.37527710088993177,15.874507866387544,0.3678474614073626,0.3678474614073626
2024-01-16,0.31789452937102813,0.31315245382775236,0.31315245382775236,15.874507866387544,0.11817567493389133,0.11817567493389133
2024-01-17,0.2726099968007942,0.35060767412210614,0.35060767412210614,15.874507866387544,0.27367240720818276,0.27367240720818276
2024-01-18,0.023208713061611055,0.3391872691711818,0.3391872691711818,15.874507866387544,0.5241707109710725,0.5241707109710725
2024-01-19,0.25566276855637526,0.29696938465533285,0.29696938465533285,15.874507866387544,0.27207662393519233,0.27207662393519233
2024-01-22,0.025827993010869934,0.3216196164926609,0.3216196164926609,15.874507866387544,0.3105844546883633,0.3105844546883633
2024-01-23,0.09974643215588881,0.3043197201010457,0.3043197201010457,15.874507866387544,0.4748443035056631,0.4748443035056631
2024-01-24,2.0519098634669675,0.30284750028298124,0.30284750028298124,15.874507866387544,0.6396161819794919,0.6396161819794919
2024-01-25,0.05379975212595269,0.41749843286749844,0.41749843286749844,15.874507866387544,0.33482214538701743,0.33482214538701743
2024-01-26,0.6517356925795829,0.46083331172392084,0.46083331172392084,15.874507866387544,0.4038972655368827,0.4038972655368827
2024-01-29,0.05478011096923735,0.3984805658907598,0.3984805658907598,15.874507866387544,0.40222550754815795,0.40222550754815795
2024-01-30,0.3603429325283019,0.33857648546841473,0.33857648546841473,15.874507866387544,0.5164083332354414,0.5164083332354414
2024-01-31,0.13251755286797579,0.37377869735971037,0.37377869735971037,15.874507866387544,0.44739901901827966,0.44739901901827966
2024-02-01,0.08005290132448155,0.3276774241888295,0.3276774241888295,15.874507866387544,0.3718887660059038,0.3718887660059038
2024-02-02,0.5894949241770278,0.3172886872819729,0.3172886872819729,15.874507866387544,0.30907571642678955,0.30907571642678955
2024-02-05,0.35031543279042343,0.352092084721965,0.352092084721965,15.874507866387544,0.23610248567787012,0.23610248567787012
2024-02-06,0.21127665543830854,0.335443367933621,0.335443367933621,15.874507866387544,0.25058262563590394,0.25058262563590394
2024-02-07,0.16668476739420157,0.318534359656194,0.318534359656194,15.874507866387544,0.29209893732846176,0.29209893732846176
2024-02-08,0.33231151502102985,0.3123085439374018,0.3123085439374018,15.874507866387544,0.32216620043210054,0.32216620043210054
2024-02-09,0.4525187659660953,0.30750210996746963,0.30750210996746963,15.874507866387544,0.2888879980574677,0.2888879980574677
2024-02-12,0.35064833099334614,0.3652034336310543,0.3652034336310543,15.874507866387544,0.41869871295115596,0.41869871295115596
2024-02-13,0.39951390055379915,0.3602963612516012,0.3602963612516012,15.874507866387544,0.31112855920687754,0.31112855920687754
2024-02-14,0.9580796205225549,0.32173131372748365,0.32173131372748365,15.874507866387544,0.4562677040645028,0.4562677040645028
2024-02-15,0.03964664425534692,0.32423536938246206,0.32423536938246206,15.874507866387544,0.3686646622238225,0.3686646622238225
2024-02-16,0.4992067374812406,0.38193814698913264,0.38193814698913264,15.874507866387544,0.2923716250924218,0.2923716250924218
2024-02-20,0.08253387968313021,0.4104443929879947,0.4104443929879947,15.874507866387544,0.2447503493922949,0.2447503493922949
2024-02-21,0.21372493890910685,0.3504321743156959,0.3504321743156959,15.874507866387544,0.22200873439783608,0.22200873439783608
2024-02-22,0.4435922735421646,0.34035154032385406,0.34035154032385406,15.874507866387544,0.17074404930341971,0.17074404930341971
2024-02-23,0.6028139698585355,0.3695166063032741,0.3695166063032741,15.874507866387544,0.5156771337971451,0.5156771337971451
2024-02-26,0.02625018411493738,0.34502153703655564,0.34502153703655564,15.874507866387544,0.1771911500720333,0.1771911500720333
2024-02-27,0.18254463746840863,0.3557745781587108,0.3557745781587108,15.874507866387544,0.40051888651545964,0.40051888651545964
2024-02-28,0.012575447174536706,0.3268658938629116,0.3268658938629116,15.874507866387544,0.39887755002129915,0.39887755002129915
2024-02-29,0.059648733534165804,0.31041662054280905,0.31041662054280905,15.874507866387544,0.4950226325255688,0.4950226325255688
2024-03-01,1.1785971119026972,0.3002928531489337,0.3002928531489337,15.874507866387544,0.3585733512932567,0.3585733512932567
2024-03-04,0.636993177381264,0.38948248385652334,0.38948248385652334,15.874507866387544,0.3903253018791344,0.3903253018791344
2024-03-05,0.373243386355023,0.4538451026824427,0.4538451026824427,15.874507866387544,0.2560866283473142,0.2560866283473142
2024-03-06,0.18860675420161943,0.3888802013096948,0.3888802013096948,15.874507866387544,0.383466344146984,0.383466344146984
2024-03-07,0.29687909365431525,0.3357093167810678,0.3357093167810678,15.874507866387544,0.4364125590380482,0.4364125590380482
2024-03-08,0.2184916256913493,0.35584458705577204,0.35584458705577204,15.874507866387544,0.6483823059625651,0.6483823059625651
2024-03-11,0.0205528228699275,0.32860900475190435,0.32860900475190435,15.874507866387544,0.5468446732692136,0.5468446732692136
2024-03-12,0.7375454667216624,0.3242729762669215,0.3242729762669215,15.874507866387544,0.5197141008438007,0.5197141008438007
2024-03-13,0.6676325705083734,0.38188003038425583,0.38188003038425583,15.874507866387544,0.2906643424032324,0.2906643424032324
2024-03-14,0.10418560600146858,0.4344209495752118,0.4344209495752118,15.874507866387544,0.30015527603907116,0.30015527603907116
2024-03-15,0.9630135635704109,0.3321057133665466,0.3321057133665466,15.874507866387544,0.25177486487728135,0.25177486487728135
2024-03-18,0.22814898094043926,0.34814376931382573,0.34814376931382573,15.874507866387544,0.3713771015646841,0.3713771015646841
2024-03-19,0.39713468790310197,0.42286533400248927,0.42286533400248927,15.874507866387544,0.8734559392654173,0.8734559392654173
2024-03-20,0.2587496609886049,0.35534030505146313,0.35534030505146313,15.874507866387544,0.26155290767757833,0.26155290767757833
2024-03-21,0.18385398009688667,0.35783444245073154,0.35783444245073154,15.874507866387544,0.31734874152080883,0.31734874152080883
2024-03-22,0.16639156615389383,0.34820200111750105,0.34820200111750105,15.874507866387544,0.44112563578891517,0.44112563578891517
2024-03-25,0.45682519946070954,0.3239230852152765,0.3239230852152765,15.874507866387544,0.36938577727650257,0.36938577727650257
2024-03-26,0.1918288804419281,0.31692918399267545,0.31692918399267545,15.874507866387544,0.30732902266954787,0.30732902266954787
2024-03-27,0.36069910315783993,0.34054685869089085,0.34054685869089085,15.874507866387544,0.27908069501438154,0.27908069501438154
2024-03-28,0.051556090261482,0.3595291313893547,0.3595291313893547,15.874507866387544,0.19077250426742662,0.19077250426742662
2024-04-01,0.7979562568542059,0.33567217536796534,0.33567217536796534,15.874507866387544,0.2562861914433322,0.2562861914433322
2024-04-02,0.1658496202765071,0.39804703672933084,0.39804703672933084,15.874507866387544,0.3440719089658954,0.3440719089658954
2024-04-03,0.2553139834740075,0.3846265985024816,0.3846265985024816,15.874507866387544,0.3291654850551252,0.3291654850551252
2024-04-04,0.5868398465779554,0.356424377019351,0.356424377019351,15.874507866387544,0.1790894222289013,0.1790894222289013
2024-04-05,0.7593850805007254,0.3686608394053522,0.3686608394053522,15.874507866387544,0.33904560710547793,0.33904560710547793
2024-04-08,0.3539318041884139,0.3454292685178914,0.3454292685178914,15.874507866387544,0.19262618706657714,0.19262618706657714
2024-04-09,0.4662889450691984,0.34623929788352925,0.34623929788352925,15.874507866387544,0.11388055580631025,0.11388055580631025
2024-04-10,0.2603348930099444,0.39690185492526275,0.39690185492526275,15.874507866387544,0.49666435912521123,0.49666435912521123
2024-04-11,0.32609015764082544,0.33937800334414464,0.33937800334414464,15.874507866387544,0.4700183578248539,0.4700183578248539
2024-04-12,0.9139693889208171,0.37636382789466033,0.37636382789466033,15.874507866387544,0.495845358061024,0.495845358061024
2024-04-15,0.43551821361083076,0.4220773185151433,0.4220773185151433,15.874507866387544,0.4169749231800601,0.4169749231800601
2024-04-16,0.16862035556103164,0.4313079901576278,0.4313079901576278,15.874507866387544,0.40472984063097783,0.40472984063097783
2024-04-17,0.5739531061623384,0.3813769182836474,0.3813769182836474,15.874507866387544,0.416102298912362,0.416102298912362
