date,actual_volatility,har_forecast,har_sentiment_forecast,har_log_forecast,xgb_forecast,xgb_sentiment_forecast
2023-12-14,0.04332861311356692,0.1703054063965849,0.24753687297518143,0.09942536287228394,0.13802248657003738,0.13802248657003738
2023-12-15,0.13556377163144714,0.15457108825344187,0.22721335360042774,0.0964582945555634,0.09496102513416822,0.09496102513416822
2023-12-18,0.08486277179872974,0.16287275412390242,0.17828967249087818,0.09653169819485935,0.1254911485157114,0.1254911485157114
2023-12-19,0.17099596596340258,0.14152081394421293,0.20489448788337644,0.09440420756143351,0.23333214981150918,0.23333214981150918
2023-12-20,0.012227268448736454,0.16783763863936157,0.159789687186619,0.09369415601642704,0.21798263296187528,0.21798263296187528
2023-12-21,0.08830895026024262,0.13527190470006809,0.24186327282299713,0.08421396282625225,0.17535869964453268,0.17535869964453268
2023-12-22,0.045162464522911394,0.14188326473660903,0.20086441913995495,0.08487871351606584,0.1581587314274993,0.1581587314274993
2023-12-26,0.008220121694404635,0.13924789398567736,0.22424793332405168,0.08644746141667232,0.2412523866603376,0.2412523866603376
2023-12-27,0.03530197930602527,0.12380322003139113,0.2422463454283628,0.07981155988975412,0.14819705515589274,0.14819705515589274
2023-12-28,0.08633976207806261,0.11557477918756534,0.22680292427500945,0.07866722269847803,0.14011907062152273,0.14011907062152273
2023-12-29,0.5785094248507763,0.12344613718026168,0.19934667666121028,0.06805203741128353,0.1071112388492081,0.1071112388492081
2024-01-02,0.11930930898135558,0.20494171782475104,-0.05462054669625008,0.07630131852313242,0.2910713302090548,0.2910713302090548
2024-01-03,0.20289925498221398,0.18412217222816551,0.1918556395021263,0.1244045071383006,0.26339853954637865,0.26339853954637865
2024-01-04,0.06383310406133107,0.19202131166528938,0.14606478347252655,0.12500286483967893,0.25605431737520584,0.25605431737520584
2024-01-05,0.37919905096397627,0.18507288112218537,0.2209204531825436,0.12550253643231446,0.2423173827755985,0.2423173827755985
2024-01-08,0.035971228187275446,0.19631602925454447,0.05699574119548867,0.12820162009239808,0.3698131136688025,0.3698131136688025
2024-01-09,0.08977635013710909,0.21865700443552835,0.24141696747838598,0.13051993960043495,0.2346214701842606,0.2346214701842606
2024-01-10,0.05123895804414145,0.155413153003554,0.2039219965289862,0.11370298352607709,0.15429035854954526,0.15429035854954526
2024-01-11,0.028201761019955945,0.16071226173277872,0.22393202718370617,0.11243881150720607,0.16921384253621818,0.16921384253621818
2024-01-12,0.1967418830877084,0.14652845359118047,0.2349126463433598,0.10714651349369674,0.17836212149247802,0.17836212149247802
2024-01-16,0.08234014996144486,0.17749755019404917,0.1469104067930631,0.10926879674703528,0.19115715943697975,0.19115715943697975
2024-01-17,0.5088018209406193,0.14540315931973988,0.20510832277725435,0.09396856837601629,0.15558870339307232,0.15558870339307232
2024-01-18,0.2446835126624034,0.1528658044989161,-0.017971734224687036,0.09654826441920873,0.25528871552042415,0.25528871552042415
2024-01-19,0.19192156293188403,0.18154195333255227,0.1275779972028089,0.12886649008750758,0.2792027561406561,0.2792027561406561
2024-01-22,0.10526683643161072,0.1872883096024829,0.1553251023076367,0.13188285578784187,0.10394717502524445,0.10394717502524445
2024-01-23,0.05540217737772896,0.19764292150612398,0.20218111354912308,0.1322642284635293,0.16983585252676953,0.16983585252676953
2024-01-24,0.02695663646027159,0.20310736419533618,0.22756096341863052,0.1288432251510638,0.22080754187613721,0.22080754187613721
2024-01-25,0.14372114532765357,0.1924307078601931,0.24142128766822485,0.12574935583675823,0.14451335213559877,0.14451335213559877
2024-01-26,0.05702700058596965,0.17657316777576573,0.17538897518677726,0.10917677877437329,0.13292105634712642,0.13292105634712642
2024-01-29,0.30849628972332366,0.15578642862112738,0.22001159334111947,0.10258231671833792,0.15756402585025506,0.15756402585025506
2024-01-30,0.31030523487039585,0.18600766049848672,0.08748338597818239,0.09637070907566264,0.279266068392322,0.279266068392322
2024-01-31,0.21037530595119422,0.21111173298371694,0.09084065521817142,0.11643695635184675,0.10852244730190967,0.10852244730190967
2024-02-01,0.08603581712859915,0.18173619210990322,0.14469976267662932,0.1267594697995235,0.20951788843098254,0.20951788843098254
2024-02-02,0.15554503656554983,0.21203882309103947,0.212196733380065,0.12811075202273964,0.1297656628220946,0.1297656628220946
2024-02-05,0.13643708449099626,0.1816620703376767,0.17299396825227636,0.12144172406358164,0.09152068244896477,0.09152068244896477
2024-02-06,0.00922186143742562,0.19444990963030018,0.1850413465372129,0.12333023092633084,0.12048570412691793,0.12048570412691793
2024-02-07,0.09161677899442267,0.1774870099119464,0.249324031960131,0.11127872221656548,0.12898448647607327,0.12898448647607327
2024-02-08,0.0446137021995307,0.16431335964073387,0.20191379867065867,0.10303064306236047,0.17461972023375094,0.17461972023375094
2024-02-09,0.1435480906717668,0.13770634980105043,0.22509412113027494,0.09429552241438727,0.2542643771272339,0.2542643771272339
2024-02-12,0.17999183903211335,0.1610890072114464,0.17335769721469022,0.09456670492665202,0.17080152201289642,0.17080152201289642
2024-02-13,0.0765369060428614,0.17032546218338573,0.15517125496402429,0.09518910425900477,0.174862301322159,0.174862301322159
2024-02-14,0.025018351259357304,0.15552855520731304,0.20943534970104982,0.09770461200287034,0.1403968527998555,0.1403968527998555
2024-02-15,0.13439485881826815,0.14960625466820585,0.2363557030195439,0.09628021258315043,0.1553909222665033,0.1553909222665033
2024-02-16,0.06544039310795018,0.15962753605199784,0.1780731079270965,0.09610142308635926,0.16448195026607862,0.16448195026607862
2024-02-20,0.06631196210154296,0.16004316855077752,0.21600857453932043,0.09949472111564463,0.2125380914527866,0.2125380914527866
2024-02-21,0.17749535663636112,0.13467324936697858,0.21330418458671804,0.08971377659091821,0.16078526364911877,0.16078526364911877
2024-02-22,0.1600912707618847,0.1275645147316438,0.15387820037004626,0.08239467667919456,0.17886190812009484,0.17886190812009484
2024-02-23,0.11872767572638898,0.16461688809267896,0.1654924157471696,0.08960081030127487,0.1341562987676088,0.1341562987676088
2024-02-26,0.12829199484660941,0.1675855297855193,0.18833469576231596,0.09401006901952547,0.10484830768709831,0.10484830768709831
2024-02-27,0.10552578859949095,0.14739583224280195,0.18273859014156474,0.09364178047358372,0.15328052130816383,0.15328052130816383
2024-02-28,0.05873431477136767,0.1719687427452806,0.1959642277830502,0.09572045421630287,0.12924555544245722,0.12924555544245722
2024-02-29,0.09601957781008205,0.16581002026104316,0.22052666208764626,0.09516044200654547,0.2037572525918429,0.2037572525918429
2024-03-01,0.4081164850888165,0.16046999645554885,0.19930458486360625,0.09125021770057268,0.15653898200519575,0.15653898200519519575
