date,actual_volatility,har_forecast_log1p,har_sentiment_forecast_log1p,har_log_forecast,xgb_forecast_log1p,xgb_sentiment_forecast_log1p
2023-12-14,0.04332861311356692,0.1623984683854044,0.1623984683854044,15.874507866387544,0.12902742248934063,0.12902742248934063
2023-12-15,0.13556377163144714,0.15337106688196334,0.15337106688196334,15.874507866387544,0.12022745586271372,0.12022745586271372
2023-12-18,0.08486277179872974,0.15966165577231822,0.15966165577231822,15.874507866387544,0.1115951791089819,0.1115951791089819
2023-12-19,0.17099596596340258,0.1414985913900247,0.1414985913900247,15.874507866387544,0.20750606540621003,0.20750606540621003
2023-12-20,0.012227268448736454,0.16080990857504635,0.16080990857504635,15.874507866387544,0.20002056578498145,0.20002056578498145
2023-12-21,0.08830895026024262,0.13604841649305488,0.13604841649305488,15.874507866387544,0.18506831089409484,0.18506831089409484
2023-12-22,0.045162464522911394,0.1426163079457207,0.1426163079457207,15.874507866387544,0.12567880638668513,0.12567880638668513
2023-12-26,0.008220121694404635,0.14032980275630658,0.14032980275630658,15.874507866387544,0.20966130654367948,0.20966130654367948
2023-12-27,0.03530197930602527,0.12841869279693782,0.12841869279693782,15.874507866387544,0.13695650961641995,0.13695650961641995
2023-12-28,0.08633976207806261,0.12262946946765706,0.12262946946765706,15.874507866387544,0.11854055702699284,0.11854055702699284
2023-12-29,0.5785094248507763,0.12742451086831721,0.12742451086831721,15.874507866387544,0.08387162801346894,0.08387162801346894
2024-01-02,0.11930930898135558,0.19027844165480295,0.19027844165480295,15.874507866387544,0.28351095508256907,0.28351095508256907
2024-01-03,0.20289925498221398,0.1752361768651979,0.1752361768651979,15.874507866387544,0.25395164144296467,0.25395164144296467
2024-01-04,0.06383310406133107,0.18454790217892691,0.18454790217892691,15.874507866387544,0.16234710441571928,0.16234710441571928
2024-01-05,0.37919905096397627,0.17873297019726217,0.17873297019726217,15.874507866387544,0.21046789173197175,0.21046789173197175
2024-01-08,0.035971228187275446,0.18347514201968793,0.18347514201968793,15.874507866387544,0.3799190814783074,0.3799190814783074
