date,actual_volatility,har_forecast_log1p,har_sentiment_forecast_log1p,har_log_forecast,xgb_forecast_log1p,xgb_sentiment_forecast_log1p,har_forecast,har_sentiment_forecast,xgb_forecast,xgb_sentiment_forecast,preferred_model,preferred_prediction,preferred_source
2023-12-14,0.2068770028573554,0.1940453230987018,0.1940453230987018,15.874507866387544,0.1290925626914277,0.1290925626914277,0.1940453230987018,0.1940453230987018,0.1290925626914277,0.1290925626914277,har_forecast,0.1940453230987018,log1p
2023-12-15,0.0820007301313777,0.1670214100834528,0.1670214100834528,15.874507866387544,0.3450236285106699,0.3450236285106699,0.1670214100834528,0.1670214100834528,0.3450236285106699,0.3450236285106699,har_forecast,0.1670214100834528,log1p
2023-12-18,0.0259648049352792,0.1461279202316845,0.1461279202316845,15.874507866387544,0.1954255533109066,0.1954255533109066,0.1461279202316845,0.1461279202316845,0.1954255533109066,0.1954255533109066,har_forecast,0.1461279202316845,log1p
2023-12-19,0.1126770688321969,0.1345045131923129,0.1345045131923129,15.874507866387544,0.1524051371191312,0.1524051371191312,0.1345045131923129,0.1345045131923129,0.1524051371191312,0.1524051371191312,har_forecast,0.1345045131923129,log1p
2023-12-20,0.1245807724310771,0.14945734933695,0.14945734933695,15.874507866387544,0.1933194732266253,0.1933194732266253,0.14945734933695,0.14945734933695,0.1933194732266253,0.1933194732266253,har_forecast,0.14945734933695,log1p
2023-12-21,0.0441350321285485,0.1477587774106193,0.1477587774106193,15.874507866387544,0.1166797875888248,0.1166797875888248,0.1477587774106193,0.1477587774106193,0.1166797875888248,0.1166797875888248,har_forecast,0.1477587774106193,log1p
2023-12-22,0.0033907211135439,0.1253254032908216,0.1253254032908216,15.874507866387544,0.1296395021056599,0.1296395021056599,0.1253254032908216,0.1253254032908216,0.1296395021056599,0.1296395021056599,har_forecast,0.1253254032908216,log1p
2023-12-26,0.025018106148022,0.1096019280734733,0.1096019280734733,15.874507866387544,0.1567589385082956,0.1567589385082956,0.1096019280734733,0.1096019280734733,0.1567589385082956,0.1567589385082956,har_forecast,0.1096019280734733,log1p
2023-12-27,0.0512658581686089,0.1031382560425543,0.1031382560425543,15.874507866387544,0.0937524043067934,0.0937524043067934,0.1031382560425543,0.1031382560425543,0.0937524043067934,0.0937524043067934,har_forecast,0.1031382560425543,log1p
2023-12-28,0.0321162354269657,0.1045375299934862,0.1045375299934862,15.874507866387544,0.1024623112016516,0.1024623112016516,0.1045375299934862,0.1045375299934862,0.1024623112016516,0.1024623112016516,har_forecast,0.1045375299934862,log1p
2023-12-29,0.2197660473309076,0.1017572920027025,0.1017572920027025,15.874507866387544,0.1128723430355946,0.1128723430355946,0.1017572920027025,0.1017572920027025,0.1128723430355946,0.1128723430355946,har_forecast,0.1017572920027025,log1p
2024-01-02,0.0115606643660251,0.1422109506031244,0.1422109506031244,15.874507866387544,0.1608265912627371,0.1608265912627371,0.1422109506031244,0.1422109506031244,0.1608265912627371,0.1608265912627371,har_forecast,0.1422109506031244,log1p
2024-01-03,0.1143511012590235,0.1178969702305327,0.1178969702305327,15.874507866387544,0.0873740071021001,0.0873740071021001,0.1178969702305327,0.1178969702305327,0.0873740071021001,0.0873740071021001,har_forecast,0.1178969702305327,log1p
2024-01-04,0.0081996365528617,0.1253984052840243,0.1253984052840243,15.874507866387544,0.1840061118730848,0.1840061118730848,0.1253984052840243,0.1253984052840243,0.1840061118730848,0.1840061118730848,har_forecast,0.1253984052840243,log1p
2024-01-05,0.296784472548503,0.1119869651345321,0.1119869651345321,15.874507866387544,0.087695234984907,0.087695234984907,0.1119869651345321,0.1119869651345321,0.087695234984907,0.087695234984907,har_forecast,0.1119869651345321,log1p
2024-01-08,0.0465357312461049,0.1178828249920605,0.1178828249920605,15.874507866387544,0.1674653354533637,0.1674653354533637,0.1178828249920605,0.1178828249920605,0.1674653354533637,0.1674653354533637,har_forecast,0.1178828249920605,log1p
2024-01-09,0.2921506080412599,0.1412247787234283,0.1412247787234283,15.874507866387544,0.1475613339559288,0.1475613339559288,0.1412247787234283,0.1412247787234283,0.1475613339559288,0.1475613339559288,har_forecast,0.1412247787234283,log1p
2024-01-10,0.0769530742827616,0.1216158190607655,0.1216158190607655,15.874507866387544,0.0720209157529696,0.0720209157529696,0.1216158190607655,0.1216158190607655,0.0720209157529696,0.0720209157529696,har_forecast,0.1216158190607655,log1p
2024-01-11,0.1576990115163937,0.148525830736851,0.148525830736851,15.874507866387544,0.0986276253559776,0.0986276253559776,0.148525830736851,0.148525830736851,0.0986276253559776,0.0986276253559776,har_forecast,0.148525830736851,log1p
2024-01-12,0.0733851391321651,0.1330462381339774,0.1330462381339774,15.874507866387544,0.0741821236164104,0.0741821236164104,0.1330462381339774,0.1330462381339774,0.0741821236164104,0.0741821236164104,har_forecast,0.1330462381339774,log1p
2024-01-16,0.0325734658408909,0.1428930864499354,0.1428930864499354,15.874507866387544,0.1144266186664061,0.1144266186664061,0.1428930864499354,0.1428930864499354,0.1144266186664061,0.1144266186664061,har_forecast,0.1428930864499354,log1p
2024-01-17,0.1783350081310614,0.1323577298306415,0.1323577298306415,15.874507866387544,0.1033170911680693,0.1033170911680693,0.1323577298306415,0.1323577298306415,0.1033170911680693,0.1033170911680693,har_forecast,0.1323577298306415,log1p
2024-01-18,0.1922902548903276,0.1267151129588751,0.1267151129588751,15.874507866387544,0.1390812451436729,0.1390812451436729,0.1267151129588751,0.1267151129588751,0.1390812451436729,0.1390812451436729,har_forecast,0.1267151129588751,log1p
2024-01-19,0.0862423060478134,0.132694583311485,0.132694583311485,15.874507866387544,0.0921616032132052,0.0921616032132052,0.132694583311485,0.132694583311485,0.0921616032132052,0.0921616032132052,har_forecast,0.132694583311485,log1p
2024-01-22,0.0953971810504982,0.1460729845709651,0.1460729845709651,15.874507866387544,0.177219604092634,0.177219604092634,0.1460729845709651,0.1460729845709651,0.177219604092634,0.177219604092634,har_forecast,0.1460729845709651,log1p
2024-01-23,0.144988299944298,0.1235571272531313,0.1235571272531313,15.874507866387544,0.1323158479619499,0.1323158479619499,0.1235571272531313,0.1235571272531313,0.1323158479619499,0.1323158479619499,har_forecast,0.1235571272531313,log1p
2024-01-24,0.0908318363085435,0.1254811920232419,0.1254811920232419,15.874507866387544,0.1624802533782551,0.1624802533782551,0.1254811920232419,0.1254811920232419,0.1624802533782551,0.1624802533782551,har_forecast,0.1254811920232419,log1p
2024-01-25,0.0368993152681109,0.1376804429357366,0.1376804429357366,15.874507866387544,0.1419946498188734,0.1419946498188734,0.1376804429357366,0.1376804429357366,0.1419946498188734,0.1419946498188734,har_forecast,0.1376804429357366,log1p
