date,actual_volatility,har_forecast,har_sentiment_forecast,har_log_forecast,xgb_forecast,xgb_sentiment_forecast,preferred_model,preferred_prediction,preferred_source
2023-12-14,0.1541682738151439,0.3253138762875449,0.3587838431154926,0.2072151279192292,0.3444856994324453,0.3444856994324453,har_forecast,0.3253138762875449,raw
2023-12-15,0.0891721638339942,0.3890191408605384,0.4850971755787105,0.2272965257812946,0.133500424082228,0.133500424082228,har_forecast,0.3890191408605384,raw
2023-12-18,0.3204309078604818,0.3573237185529587,0.4812209859501272,0.1952490019585138,0.0998498145343986,0.0998498145343986,har_forecast,0.3573237185529587,raw
2023-12-19,0.6346116986979565,0.2806350627854528,0.4217502573956604,0.1918340040266284,0.3899275791396179,0.3899275791396179,har_forecast,0.2806350627854528,raw
2023-12-20,0.4658510978645733,0.3876701850448066,0.3877318907624732,0.1998405247398142,0.4867460003039521,0.4867460003039521,har_forecast,0.3876701850448066,raw
2023-12-21,0.1227291629372193,0.3475956357921975,0.4210104618787622,0.2162891608751171,0.2363066247852515,0.2363066247852515,har_forecast,0.3475956357921975,raw
2023-12-22,0.2537975055690302,0.3515080960677826,0.4731861379286244,0.2105324463275305,0.299511011503541,0.299511011503541,har_forecast,0.3515080960677826,raw
2023-12-26,0.2960191791952689,0.3289903273717604,0.4468457470894827,0.1984211776540025,0.2480730168862243,0.2480730168862243,har_forecast,0.3289903273717604,raw
2023-12-27,0.5096376091841207,0.3161755713760674,0.4368640133710512,0.2028605352195018,0.36081181143673,0.36081181143673,har_forecast,0.3161755713760674,raw
2023-12-28,0.2974617205358408,0.3714629595269154,0.4042925233834697,0.2076685050438452,0.3772867405320635,0.3772867405320635,har_forecast,0.3714629595269154,raw
2023-12-29,0.0038334945952427,0.3820459139273466,0.4487173559687629,0.2147986746852088,0.4102019430045782,0.4102019430045782,har_forecast,0.3820459139273466,raw
2024-01-02,0.6502392535447451,0.3340227503189648,0.4901992806215745,0.1865855708718874,0.336731766975007,0.336731766975007,har_forecast,0.3340227503189648,raw
2024-01-03,0.034656431303448,0.3821062361532422,0.3798478641378149,0.1667093872981114,0.4225913638341901,0.4225913638341901,har_forecast,0.3821062361532422,raw
2024-01-04,0.0293827858001583,0.3881755925333234,0.5035625397615988,0.2096397117578319,0.128758578515413,0.128758578515413,har_forecast,0.3881755925333234,raw
2024-01-05,0.1966314105347708,0.3523663138409504,0.4895976999621723,0.1827364451290078,0.1811447633356031,0.1811447633356031,har_forecast,0.3523663138409504,raw
2024-01-08,0.3666509613940109,0.2793659259205146,0.4403643322370852,0.1844668905148958,0.1411955875621469,0.1411955875621469,har_forecast,0.2793659259205146,raw
2024-01-09,0.069064154707035,0.3626930533908167,0.4284083405500082,0.2023126363705636,0.2636772021701593,0.2636772021701593,har_forecast,0.3626930533908167,raw
2024-01-10,0.4626778688343038,0.3406632280634937,0.4794657516542318,0.2061060053203427,0.2249726515495992,0.2249726515495992,har_forecast,0.3406632280634937,raw
2024-01-11,0.5929033246971479,0.3784015610111474,0.4139351744218104,0.1905961770519255,0.3694957303301412,0.3694957303301412,har_forecast,0.3784015610111474,raw
2024-01-12,0.0738017087453264,0.4228809703939722,0.4047266586384542,0.2165470268242521,0.3819820364721576,0.3819820364721576,har_forecast,0.4228809703939722,raw
2024-01-16,0.3178945293710281,0.3428085873476888,0.4816314119076294,0.2198049227470114,0.1329719669205092,0.1329719669205092,har_forecast,0.3428085873476888,raw
2024-01-17,0.2726099968007942,0.3932836638581748,0.445005766186629,0.2045050932940768,0.3297982101680495,0.3297982101680495,har_forecast,0.3932836638581748,raw
2024-01-18,0.023208713061611,0.3737653419581666,0.4486834003412034,0.2187550351063377,0.4597088744760458,0.4597088744760458,har_forecast,0.3737653419581666,raw
2024-01-19,0.2556627685563752,0.3234330068295881,0.4824266706583979,0.200706676866525,0.2935552998372107,0.2935552998372107,har_forecast,0.3234330068295881,raw
2024-01-22,0.0258279930108699,0.3550386686288193,0.4455463219678479,0.1850728641016548,0.304394017633914,0.304394017633914,har_forecast,0.3550386686288193,raw
2024-01-23,0.0997464321558888,0.3387089349859926,0.4869122531184976,0.1953088908955213,0.5428902883551233,0.5428902883551233,har_forecast,0.3387089349859926,raw
2024-01-24,2.0519098634669675,0.334284240880526,0.4695900959992783,0.178575165420899,0.6792376036689143,0.6792376036689143,har_forecast,0.334284240880526,raw
2024-01-25,0.0537997521259526,0.4853460150338459,0.150006093552615,0.1896555315623821,0.4417792824420382,0.4417792824420382,har_forecast,0.4853460150338459,raw
2024-01-26,0.6517356925795829,0.5557862002796118,0.5581824063594242,0.2839109395288427,0.4141059322999837,0.4141059322999837,har_forecast,0.5557862002796118,raw
2024-01-29,0.0547801109692373,0.4784919002956614,0.4211323607879101,0.2513643119287965,0.3782645618438278,0.3782645618438278,har_forecast,0.4784919002956614,raw
2024-01-30,0.3603429325283019,0.3703690845159546,0.488733030040419,0.2738005317097336,0.4765074693196076,0.4765074693196076,har_forecast,0.3703690845159546,raw
2024-01-31,0.1325175528679757,0.4328351633125408,0.4422027206955234,0.2521517239487578,0.4988358704115528,0.4988358704115528,har_forecast,0.4328351633125408,raw
2024-02-01,0.0800529013244815,0.361828158458843,0.4753281518960245,0.2687044493565161,0.3689041822892027,0.3689041822892027,har_forecast,0.361828158458843,raw
2024-02-02,0.5894949241770278,0.3518060553377133,0.4773976485302814,0.2403720142666902,0.2505481145648511,0.2505481145648511,har_forecast,0.3518060553377133,raw
2024-02-05,0.3503154327904234,0.3851669210328283,0.3893076311930699,0.2430859396405551,0.1887026550046814,0.1887026550046814,har_forecast,0.3851669210328283,raw
2024-02-06,0.2112766554383085,0.3838159080394345,0.4485467299093242,0.2617932678401424,0.1601247403494956,0.1601247403494956,har_forecast,0.3838159080394345,raw
2024-02-07,0.1666847673942015,0.353471819800084,0.4594829513653362,0.2561862677991623,0.2704754386076199,0.2704754386076199,har_forecast,0.353471819800084,raw
2024-02-08,0.3323115150210298,0.3445412248287328,0.4624819485041641,0.2488947872209409,0.339036782373294,0.339036782373294,har_forecast,0.3445412248287328,raw
2024-02-09,0.4525187659660953,0.3406137518640557,0.4332188740728869,0.2491501767174639,0.3176122184159968,0.3176122184159968,har_forecast,0.3406137518640557,raw
2024-02-12,0.3506483309933461,0.4084972462446105,0.423215772004073,0.2592538497827334,0.5478798845599245,0.5478798845599245,har_forecast,0.4084972462446105,raw
2024-02-13,0.3995139005537991,0.4006559021409849,0.4402751884649772,0.2619315167516163,0.3430544278233471,0.3430544278233471,har_forecast,0.4006559021409849,raw
2024-02-14,0.9580796205225548,0.3624963212999167,0.4293938886944541,0.2586820783413522,0.6344176717545389,0.6344176717545389,har_forecast,0.3624963212999167,raw
2024-02-15,0.0396466442553469,0.3665229813172329,0.3367765546011668,0.2635930365019602,0.315632695968102,0.315632695968102,har_forecast,0.3665229813172329,raw
2024-02-16,0.4992067374812406,0.43656909355648,0.5137500241427801,0.2745687794240782,0.2882578115851986,0.2882578115851986,har_forecast,0.43656909355648,raw
2024-02-20,0.0825338796831302,0.4662392996694031,0.4296479424731614,0.24709183061139,0.1948619249186606,0.1948619249186606,har_forecast,0.4662392996694031,raw
2024-02-21,0.2137249389091068,0.3900810721648157,0.4908006969558731,0.2703073612526086,0.298645587235184,0.298645587235184,har_forecast,0.3900810721648157,raw
2024-02-22,0.4435922735421646,0.3841030416653911,0.4637736340060208,0.2528738008620175,0.2467903509093995,0.2467903509093995,har_forecast,0.3841030416653911,raw
2024-02-23,0.6028139698585355,0.4068226314468462,0.4215167032102881,0.2663284556600568,0.4439404996254043,0.4439404996254043,har_forecast,0.4068226314468462,raw
2024-02-26,0.0262501841149373,0.3920131953350299,0.4027995492639458,0.2718486972568015,0.2224035344955939,0.2224035344955939,har_forecast,0.3920131953350299,raw
2024-02-27,0.1825446374684086,0.3987945822224067,0.5004920351667828,0.2681830126442271,0.3594670391833885,0.3594670391833885,har_forecast,0.3987945822224067,raw
2024-02-28,0.0125754471745367,0.3699442261041338,0.4676742333489618,0.199044117645549,0.4117753288800198,0.4117753288800198,har_forecast,0.3699442261041338,raw
2024-02-29,0.0596487335341658,0.3363150456427705,0.4853101205480332,0.2082440246408237,0.5269144707054281,0.5269144707054281,har_forecast,0.3363150456427705,raw
2024-03-01,1.1785971119026972,0.3322775377056455,0.4766818160212835,0.1837586514866612,0.4108969322680653,0.4108969322680653,har_forecast,0.3322775377056455,raw
2024-03-04,0.636993177381264,0.4331742424586372,0.2938610226055672,0.2049825318118837,0.409217777277914,0.409217777277914,har_forecast,0.4331742424586372,raw
2024-03-05,0.373243386355023,0.5212799515402823,0.4301897535457231,0.2592351909959818,0.2194911532031324,0.2194911532031324,har_forecast,0.5212799515402823,raw
2024-03-06,0.1886067542016194,0.4316614684473958,0.4468368296018555,0.2565639665001378,0.4455668300006618,0.4455668300006618,har_forecast,0.4316614684473958,raw
2024-03-07,0.2968790936543152,0.3696568778444865,0.4654075603533592,0.2495941845398138,0.5713922624170833,0.5713922624170833,har_forecast,0.3696568778444865,raw
2024-03-08,0.2184916256913493,0.3931264477821745,0.4455156059096667,0.2403744220870111,0.6320096913789007,0.6320096913789007,har_forecast,0.3931264477821745,raw
2024-03-11,0.0205528228699275,0.3668861726395883,0.45973439870456,0.2438970648036439,0.5537996752587985,0.5537996752587985,har_forecast,0.3668861726395883,raw
2024-03-12,0.7375454667216624,0.3608488756657507,0.4895238896234843,0.2249424626691184,0.5458632857579054,0.5458632857579054,har_forecast,0.3608488756657507,raw
2024-03-13,0.6676325705083734,0.4248556471011105,0.3714772721982438,0.2098814991368267,0.2991946729618129,0.2991946729618129,har_forecast,0.4248556471011105,raw
2024-03-14,0.1041856060014685,0.4956041085648083,0.4112936124372374,0.2567694734434351,0.3877586815397862,0.3877586815397862,har_forecast,0.4956041085648083,raw
2024-03-15,0.9630135635704108,0.3603431759378486,0.4787850521753733,0.2535317114290508,0.2953234784806048,0.2953234784806048,har_forecast,0.3603431759378486,raw
2024-03-18,0.2281489809404392,0.3972783319761679,0.3428782069299909,0.2404784114246832,0.3733807187106396,0.3733807187106396,har_forecast,0.3972783319761679,raw
2024-03-19,0.3971346879031019,0.4873399923746614,0.4925906228293084,0.2721866981895614,0.8520995964143664,0.8520995964143664,har_forecast,0.4873399923746614,raw
2024-03-20,0.2587496609886049,0.4039359446491026,0.4420456970420394,0.2484326023437515,0.2142413431734343,0.2142413431734343,har_forecast,0.4039359446491026,raw
2024-03-21,0.1838539800968866,0.3892407387586547,0.4529245753379615,0.2532038406157693,0.3596882437176905,0.3596882437176905,har_forecast,0.3892407387586547,raw
2024-03-22,0.1663915661538938,0.3892611849256732,0.4663216561986127,0.2431925625209766,0.4733075736563805,0.4733075736563805,har_forecast,0.3892611849256732,raw
2024-03-25,0.4568251994607095,0.3593468513360225,0.4647505613399602,0.2395167008854143,0.4271511293689632,0.4271511293689632,har_forecast,0.3593468513360225,raw
2024-03-26,0.1918288804419281,0.3544775990665611,0.4149151089953564,0.2341689854631424,0.3511568143726286,0.3511568143726286,har_forecast,0.3544775990665611,raw
2024-03-27,0.3606991031578399,0.3863796281254242,0.4713004101324554,0.2440382830526693,0.3337424203115653,0.3337424203115653,har_forecast,0.3863796281254242,raw
2024-03-28,0.051556090261482,0.4020189129104773,0.4373724493923692,0.2318450004356338,0.1992329623960335,0.1992329623960335,har_forecast,0.4020189129104773,raw
2024-04-01,0.7979562568542059,0.3753153814937393,0.4888741445788002,0.2332739119468899,0.3639610090541733,0.3639610090541733,har_forecast,0.3753153814937393,raw
2024-04-02,0.1658496202765071,0.4465550729813784,0.3666063165927485,0.2230747019022238,0.38711428178953,0.38711428178953,har_forecast,0.4465550729813784,raw
2024-04-03,0.2553139834740075,0.4453525602939718,0.4954231342692106,0.2590222339554316,0.3876112540220429,0.3876112540220429,har_forecast,0.4453525602939718,raw
2024-04-04,0.5868398465779554,0.4048597328603733,0.4635458190043564,0.2421669911773907,0.1947043835758702,0.1947043835758702,har_forecast,0.4048597328603733,raw
2024-04-05,0.7593850805007254,0.3992340633211428,0.3935141898932321,0.2349312608179033,0.308256879944559,0.308256879944559,har_forecast,0.3992340633211428,raw
2024-04-08,0.3539318041884139,0.3945078090406377,0.3802456620194131,0.2454864259791342,0.1565418032692775,0.1565418032692775,har_forecast,0.3945078090406377,raw
2024-04-09,0.4662889450691984,0.3876525941770447,0.44635600750929,0.2539045103300831,0.034502860976799,0.034502860976799,har_forecast,0.3876525941770447,raw
2024-04-10,0.2603348930099444,0.4480220491172584,0.4307066219313541,0.2452280754894593,0.5403346446756226,0.5403346446756226,har_forecast,0.4480220491172584,raw
2024-04-11,0.3260901576408254,0.3774972037446207,0.4557842451517419,0.2484589918005734,0.4992630497617275,0.4992630497617275,har_forecast,0.3774972037446207,raw
2024-04-12,0.9139693889208172,0.4221350522474726,0.4478791055836814,0.2432232540295144,0.5591743481075625,0.5591743481075625,har_forecast,0.4221350522474726,raw
2024-04-15,0.4355182136108307,0.4697652010054238,0.3507750141848289,0.2499431421543703,0.4495805790883581,0.4495805790883581,har_forecast,0.4697652010054238,raw
2024-04-16,0.1686203555610316,0.4901489059968409,0.4521096688174872,0.2635095238568667,0.3543689531158437,0.3543689531158437,har_forecast,0.4901489059968409,raw
2024-04-17,0.5739531061623384,0.4302563625042158,0.4819462433934002,0.2482448916379771,0.4847326527215367,0.4847326527215367,har_forecast,0.4302563625042158,raw
2024-04-18,0.3078985241379469,0.4319793593527122,0.4029269131593431,0.2421310003921096,0.4737802414074602,0.4737802414074602,har_forecast,0.4319793593527122,raw
2024-04-19,0.5491556763612548,0.4456534633791576,0.4612749109238353,0.2468656516241324,0.3894745289023994,0.3894745289023994,har_forecast,0.4456534633791576,raw
