Ticker,Model,RMSE,MAE,MAPE,R2,Correlation,DirectionalAccuracy,QLIKE
AAPL,HAR,0.1576832647297436,0.11724204343815922,6647649.953278984,-0.0691679077484304,0.03692926708055405,0.44274809160305345,-0.8020529435527358
AAPL,HAR + Sentiment,0.1576832647297436,0.11724204343815922,6647649.953278984,-0.0691679077484304,0.03692926708055405,0.44274809160305345,-0.8020529435527358
AAPL,XGBoost,0.16366750078867395,0.12045216305305068,6115270.231574151,-0.1518597683203442,0.05846622117951868,0.5,-0.7491011864212211
AAPL,XGBoost + Sentiment,0.16366750078867395,0.12045216305305068,6115270.231574151,-0.1518597683203442,0.05846622117951868,0.5,-0.7491011864212211
MSFT,HAR,0.1401614938779332,0.10615871336272358,304.2742576171977,-0.139110048397463,-0.004408316049000778,0.37786259541984735,-0.8814165024339699
MSFT,HAR + Sentiment,0.1401614938779332,0.10615871336272358,304.2742576171977,-0.139110048397463,-0.004408316049000778,0.37786259541984735,-0.8814165024339699
MSFT,XGBoost,0.15291058001496574,0.11620999151742571,334.5376971639346,-0.35576156847854423,-0.04287894450168866,0.4312977099236641,-0.8260736876479545
MSFT,XGBoost + Sentiment,0.15291058001496574,0.11620999151742571,334.5376971639346,-0.35576156847854423,-0.04287894450168866,0.4312977099236641,-0.8260736876479545
NVDA,HAR,0.3357015705120285,0.24722236865282018,8887224.077583093,0.03899735762904788,0.21427245824096738,0.40076335877862596,0.03142512620311215
NVDA,HAR + Sentiment,0.3357015705120285,0.24722236865282018,8887224.077583093,0.03899735762904788,0.21427245824096738,0.40076335877862596,0.03142512620311215
NVDA,XGBoost,0.3574970307435468,0.26839932882414747,5844096.180826344,-0.08983992534420304,0.155229007875665,0.4961832061068702,0.11305217457259932
NVDA,XGBoost + Sentiment,0.3574970307435468,0.26839932882414747,5844096.180826344,-0.08983992534420304,0.155229007875665,0.4961832061068702,0.11305217457259932
TSLA,HAR,0.43132490840384036,0.29648431196412073,397.428745164008,-0.024289098066823556,0.03778182214205456,0.3969465648854962,0.20140455545017627
TSLA,HAR + Sentiment,0.43132490840384036,0.29648431196412073,397.428745164008,-0.024289098066823556,0.03778182214205456,0.3969465648854962,0.20140455545017627
TSLA,XGBoost,0.4584491697043004,0.33004909881204536,470.7060133287991,-0.15716650413778233,0.07655015184293065,0.5190839694656488,0.3386952178669959
TSLA,XGBoost + Sentiment,0.4584491697043004,0.33004909881204536,470.7060133287991,-0.15716650413778233,0.07655015184293065,0.5190839694656488,0.3386952178669959
